GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.0,0.414,0.0	0.0,0.0,NA	0.138
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.0,0.006,0.0	0.003,0.0,0.0	0.001
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.93,0.864,0.882	1.0,1.0,1.0	-0.108
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.005,0.008,0.01	0.01,0.005,0.0	0.003
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.944,0.889,0.907	1.0,1.0,1.0	-0.087
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.987,0.976,0.978	1.0,1.0,1.0	-0.02
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.004,0.01,0.018	0.015,0.017,0.01	-0.003
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.993,0.997,1.0	1.0,0.997,0.992	0.0
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.0,0.0,0.004	0.0,0.005,0.0	-0.0
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	NA,0.0,1.0	0.0,NA,NA	0.5
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.0,0.0,0.0	0.0,0.0,0.009	-0.003
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.0,0.002,0.0	0.0,0.003,0.0	-0.0
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	1.0,1.0,1.0	1.0,0.973,1.0	0.009
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.003,0.007,0.003	0.01,0.009,0.003	-0.003
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.0,0.0,0.028	0.0,0.0,0.0	0.009
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.092,0.17,0.058	0.086,0.151,0.074	0.003
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	1.0,0.992,1.0	0.952,0.941,0.978	0.04
ENSMUSG00000000127.16	Fer	-0.677716453083342	7.59477865605412e-11	2.6970075472021403e-10	1.0,1.0,0.924	1.0,1.0,0.912	0.004
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.014,0.02,0.011	0.025,0.028,0.03	-0.013
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.786,1.0,0.496	1.0,0.509,0.561	0.071
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.117,0.057,0.022	0.0,0.063,0.113	0.007
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,0.0,NA	1.0,NA,NA	-0.5
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.539,0.562,0.438	0.143,0.0,0.245	0.384
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,0.994,1.0	0.997,0.995,1.0	0.001
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.073,0.0,0.0	0.24,0.0,0.208	-0.125
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.652,0.762,1.0	1.0,1.0,0.927	-0.171
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,NA,0.0	NA,1.0,NA	-0.5
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.875,0.917,1.0	1.0,1.0,0.977	-0.062
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.0,NA,NA	NA,NA,1.0	-1.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.009,0.004,0.0	0.0,0.0,0.005	0.003
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.013,0.004,0.0	0.0,0.0,0.003	0.005
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.008,0.029,0.033	0.0,0.004,0.059	0.002
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.0,0.0,0.0	0.0,NA,0.0	0.0
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.062,0.085,0.0	0.0,1.0,0.0	-0.284
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	1.0,1.0,NA	NA,1.0,NA	0.0
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.256,0.139,0.164	0.299,0.108,0.228	-0.025
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.988,0.968,0.904	1.0,0.935,0.964	-0.013
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.965,0.91,0.716	1.0,0.796,0.893	-0.033
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.01,0.0,0.0	0.013,0.0,0.0	-0.001
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	0.327,0.0,0.0	NA,NA,1.0	-0.891
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	0.598,0.598,NA	NA,NA,1.0	-0.402
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	1.0,1.0,0.0	NA,NA,0.644	0.023
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	1.0,1.0,0.71	NA,NA,0.0	0.903
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	1.0,1.0,0.0	NA,NA,0.0	0.667
ENSMUSG00000000149.11	Gna12	-0.165039368796064	3.22763540257542e-07	9.13286453238923e-07	0.005,0.0,0.0	0.0,0.0,0.001	0.001
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	1.0,1.0,0.995	1.0,1.0,1.0	-0.002
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.02,0.0,0.016	0.0,0.0,0.0	0.012
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.0,0.004,0.003	0.0,0.0,0.0	0.002
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.008,0.025,0.003	0.0,0.0,0.0	0.012
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.993,1.0,1.0	1.0,1.0,1.0	-0.002
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.871,0.926,0.84	1.0,1.0,1.0	-0.121
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.983,0.721,0.859	1.0,1.0,1.0	-0.146
ENSMUSG00000000167.15	Pih1d2	-0.912377204238879	0.0002621882402284	0.0005718875817519	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000167.15	Pih1d2	-0.912377204238879	0.0002621882402284	0.0005718875817519	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000167.15	Pih1d2	-0.912377204238879	0.0002621882402284	0.0005718875817519	0.064,0.0,0.0	0.0,0.0,0.0	0.021
ENSMUSG00000000168.11	Dlat	-0.290169834137006	4.6246940700807e-19	2.3859896118022898e-18	0.001,0.005,0.003	0.002,0.003,0.005	-0.0
ENSMUSG00000000168.11	Dlat	-0.290169834137006	4.6246940700807e-19	2.3859896118022898e-18	0.001,0.001,0.0	0.004,0.0,0.0	-0.001
ENSMUSG00000000171.6	Sdhd	-0.303303936611625	1.8697280432955302e-35	1.5801675151089699e-34	0.002,0.002,0.001	0.0,0.0,0.001	0.001
ENSMUSG00000000171.6	Sdhd	-0.303303936611625	1.8697280432955302e-35	1.5801675151089699e-34	1.0,1.0,1.0	0.995,1.0,0.998	0.002
ENSMUSG00000000171.6	Sdhd	-0.303303936611625	1.8697280432955302e-35	1.5801675151089699e-34	1.0,1.0,1.0	0.999,1.0,0.999	0.001
