GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.414,0.429,0.409	0.38,0.39,0.402	0.027
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	NA,0.652,1.0	NA,0.0,1.0	0.326
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.519,0.464,0.496	0.496,0.498,0.555	-0.023
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.004,0.0,0.0	0.0,0.008,0.0	-0.001
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.367,0.583,0.452	0.422,0.314,0.427	0.08
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.334,0.376,0.338	0.47,0.501,0.379	-0.101
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.326,0.308,0.41	0.534,0.408,0.382	-0.093
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.965,0.817,0.912	0.979,0.929,0.938	-0.051
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.963,0.936,0.899	0.959,0.985,0.987	-0.044
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.742,0.485,0.365	0.838,0.687,0.633	-0.189
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.0,0.0,0.0	0.069,0.0,0.02	-0.03
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.0,0.091,0.0	0.0,0.0,0.0	0.03
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.0,0.266,0.0	0.0,0.0,0.0	0.089
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.389,0.428,0.432	0.412,0.386,0.451	-0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.534,0.519,0.546	0.542,0.45,0.589	0.006
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.262,0.328,0.282	0.349,0.289,0.304	-0.023
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.487,0.512,0.539	0.521,0.516,0.46	0.014
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.958,1.0,0.98	0.939,1.0,1.0	-0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.99,1.0,0.995	0.984,1.0,1.0	0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.013,0.009,0.0	0.0,0.003,0.003	0.005
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.105,0.098,0.091	0.064,0.06,0.099	0.024
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,0.0,NA	NA,NA,1.0	-0.5
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.996,1.0,1.0	0.988,1.0,0.987	0.007
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.975,1.0,0.988	0.966,1.0,1.0	-0.001
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.401,0.0,0.0	0.0,NA,NA	0.134
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.0,0.0,0.615	0.0,NA,NA	0.205
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.418,0.378,0.516	0.398,0.434,0.44	0.013
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.486,0.459,0.581	0.468,0.496,0.5	0.021
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.723,0.682,0.823	0.728,0.783,0.73	-0.004
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.987,1.0,0.994	0.972,1.0,0.991	0.006
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.018,0.022,0.043	0.0,0.014,0.051	0.006
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.023,0.03,0.055	0.0,0.018,0.065	0.008
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.061,0.072,0.163	0.0,0.062,0.157	0.026
ENSMUSG00000000148.18	Brat1	-0.13827113600607	0.0084242547266346	0.0151344753963035	0.653,1.0,0.883	0.0,1.0,0.883	0.218
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.047,0.213,0.096	0.0,NA,0.0	0.119
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.007,0.07,0.021	0.0,NA,0.0	0.033
ENSMUSG00000000157.17	Itgb2l	-4.28776991969112	0.0	0.0	0.028,0.06,0.021	0.0,NA,0.0	0.036
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.172,0.149,0.175	0.094,0.0,0.094	0.103
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.171,0.147,0.174	0.099,0.0,0.092	0.1
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.003,0.003,0.003	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.003,0.003,0.003	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.005,0.003,0.0	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.005,0.003,0.0	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.173,0.158,0.182	0.0,0.0,0.087	0.142
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.172,0.155,0.181	0.0,0.0,0.085	0.141
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.004,0.0,0.005	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.004,0.0,0.005	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.006,0.0,0.002	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	0.006,0.0,0.002	0.0,0.0,0.0	0.003
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	1.0,0.469,1.0	1.0,NA,NA	-0.177
ENSMUSG00000000204.17	Slfn4	-5.63032313477337	0.0	0.0	NA,0.702,1.0	1.0,NA,NA	-0.149
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.481,0.517,0.51	0.479,0.478,0.459	0.031
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.973,0.953,0.963	0.968,0.93,0.963	0.009
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.025,0.05,0.039	0.03,0.064,0.032	-0.004
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.437,0.444,0.408	0.397,0.454,0.447	-0.003
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.982,0.982,0.983	0.976,0.98,0.973	0.006
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.579,0.542,0.565	0.509,0.545,0.514	0.039
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.98,0.986,0.979	0.98,0.98,0.97	0.005
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.591,0.589,0.559	0.535,0.648,0.582	-0.009
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.557,0.517,0.533	0.469,0.539,0.501	0.033
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.025,0.021,0.022	0.025,0.023,0.029	-0.003
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.029,0.019,0.027	0.022,0.035,0.041	-0.008
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.025,0.015,0.024	0.017,0.023,0.03	-0.002
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.647,0.661,0.59	0.602,0.668,0.65	-0.007
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.629,0.615,0.589	0.564,0.593,0.585	0.03
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.465,0.428,0.474	0.435,0.389,0.419	0.041
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.0,0.0,0.003	0.005,0.004,0.006	-0.004
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.481,0.45,0.498	0.461,0.42,0.432	0.039
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.022,0.031,0.034	0.046,0.043,0.021	-0.008
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.736,0.702,0.741	0.694,0.702,0.676	0.036
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.463,0.445,0.446	0.44,0.463,0.402	0.016
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.004,0.004,0.007	0.007,0.006,0.004	-0.001
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	1.0,1.0,0.997	1.0,1.0,1.0	-0.001
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	1.0,1.0,0.997	0.974,1.0,1.0	0.008
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.012,0.016,0.017	0.007,0.029,0.02	-0.004
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.0,0.0,0.0	0.0,0.0,0.0	0.0
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.0,0.0,0.0	0.0,0.0,0.0	0.0
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.483,0.0,0.0	0.359,0.0,0.123	0.0
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	1.0,NA,0.0	0.293,NA,1.0	-0.146
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.027,0.0,0.0	0.013,0.0,0.006	0.003
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.023,0.0,0.0	0.01,0.0,0.004	0.003
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.757,0.568,0.23	0.467,0.198,0.479	0.137
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.767,0.535,0.295	0.295,0.198,0.512	0.197
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.052,0.036,0.017	0.025,0.012,0.028	0.013
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.048,0.03,0.017	0.021,0.009,0.021	0.015
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	1.0,1.0,0.838	1.0,1.0,1.0	-0.054
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	1.0,1.0,0.869	0.425,1.0,1.0	0.148
ENSMUSG00000000244.18	Tspan32	-0.558634904010681	1.2273969025409699e-62	1.77422721486759e-61	0.991,0.984,0.972	0.978,0.976,0.985	0.003
