GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	0.206540518528692	1.35082443740493e-08	4.1969886673155e-08	0.012,0.012,0.005	0.008,0.002,0.002	0.006
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.002,0.007,0.009	0.016,0.013,0.005	-0.005
ENSMUSG00000000056.8	Narf	-0.680549481179372	9.00021295086261e-95	2.05079032045832e-93	0.006,0.006,0.002	0.008,0.006,0.004	-0.001
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	0.835,0.893,0.858	0.931,0.929,0.985	-0.086
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	NA,NA,0.154	NA,NA,1.0	-0.846
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	NA,NA,0.317	NA,NA,1.0	-0.683
ENSMUSG00000000085.17	Scmh1	0.177366217746841	0.0024812569756737	0.0048268320146677	NA,0.0,1.0	1.0,NA,1.0	-0.5
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.002,0.003,0.002	0.003,0.003,0.001	0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.968,0.964,0.985	1.0,1.0,1.0	-0.028
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.231,0.612,0.474	0.474,0.0,1.0	-0.052
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.003,0.004,0.007	0.008,0.0,0.007	-0.0
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	0.32,0.256,1.0	0.672,0.816,1.0	-0.304
ENSMUSG00000000131.16	Xpo6	-0.254796516882997	6.04180557535464e-18	2.99335485282691e-17	1.0,0.784,0.728	0.398,1.0,1.0	0.038
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.01,0.002,0.007	0.001,0.002,0.002	0.005
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.014,0.015,0.012	0.003,0.003,0.006	0.01
ENSMUSG00000000134.18	Tfe3	-0.376730825027427	1.23049589094645e-17	6.04388403016225e-17	0.011,0.004,0.014	0.007,0.003,0.004	0.005
