GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000001.5	Gnai3	0.512200913132779	1.12566726829143e-28	5.99542623421773e-28	0.011,0.01,0.006	0.006,0.004,0.0	0.006
ENSMUSG00000000001.5	Gnai3	0.512200913132779	1.12566726829143e-28	5.99542623421773e-28	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
ENSMUSG00000000001.5	Gnai3	0.512200913132779	1.12566726829143e-28	5.99542623421773e-28	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	NA,1.0,0.0	0.0,0.0,NA	0.5
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.0,0.002,0.0	0.003,0.0,0.0	-0.0
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.924,0.964,0.989	1.0,1.0,1.0	-0.041
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	1.0,0.988,1.0	1.0,1.0,1.0	-0.004
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.0,0.0,0.009	0.01,0.005,0.0	-0.002
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.938,0.971,0.992	1.0,1.0,1.0	-0.033
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	1.0,0.991,1.0	1.0,1.0,1.0	-0.003
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.987,0.994,0.998	1.0,1.0,1.0	-0.007
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	1.0,0.915,1.0	1.0,1.0,1.0	-0.028
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.013,0.019,0.006	0.015,0.017,0.01	-0.001
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.998,0.992,0.991	1.0,0.997,0.992	-0.003
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.0,0.0,0.001	0.0,0.0,0.0	0.0
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	1.0,0.985,1.0	0.978,1.0,1.0	0.002
ENSMUSG00000000056.8	Narf	-1.10728048387541	6.700335002199049e-185	2.46033220666955e-183	0.0,0.0,0.0	0.0,0.0,0.009	-0.003
ENSMUSG00000000056.8	Narf	-1.10728048387541	6.700335002199049e-185	2.46033220666955e-183	0.0,0.0,0.001	0.0,0.003,0.0	-0.001
ENSMUSG00000000056.8	Narf	-1.10728048387541	6.700335002199049e-185	2.46033220666955e-183	0.996,1.0,1.0	1.0,1.0,1.0	-0.001
ENSMUSG00000000127.16	Fer	-0.449077455451978	0.0001686144393737	0.0003318071257997	1.0,1.0,1.0	1.0,1.0,0.912	0.029
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.01,0.012,0.015	0.025,0.028,0.03	-0.015
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.719,1.0,0.615	1.0,0.509,0.561	0.088
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,0.822,1.0	1.0,NA,NA	-0.059
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.682,0.551,0.218	0.143,0.0,0.245	0.354
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,0.993,1.0	0.997,0.995,1.0	0.0
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.0,0.345,0.0	0.24,0.0,0.208	-0.034
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,0.728,1.0	1.0,1.0,0.927	-0.066
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	NA,0.0,NA	NA,1.0,NA	-1.0
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,0.911,1.0	1.0,1.0,0.977	-0.022
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.005,0.006,0.008	0.0,0.0,0.005	0.005
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.019,0.008,0.007	0.0,0.004,0.059	-0.01
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.215,1.0,0.0	0.0,NA,0.0	0.405
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.0,NA,0.0	0.0,1.0,0.0	-0.333
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.0,0.0,NA	NA,1.0,NA	-1.0
ENSMUSG00000000149.11	Gna12	-0.306410629689585	2.6407881444918103e-15	9.346622874355801e-15	0.327,1.0,0.0	NA,NA,1.0	-0.558
ENSMUSG00000000149.11	Gna12	-0.306410629689585	2.6407881444918103e-15	9.346622874355801e-15	1.0,1.0,1.0	NA,NA,0.644	0.356
ENSMUSG00000000149.11	Gna12	-0.306410629689585	2.6407881444918103e-15	9.346622874355801e-15	1.0,1.0,1.0	NA,NA,0.0	1.0
ENSMUSG00000000157.17	Itgb2l	0.989650060865795	7.45309750076141e-05	0.0001511916768855	0.157,0.0,0.0	0.0,0.0,0.0	0.052
ENSMUSG00000000167.15	Pih1d2	-0.698910134042981	0.0109777243315567	0.0178162152761588	0.823,1.0,1.0	1.0,1.0,1.0	-0.059
