GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.383,0.395,0.43	0.38,0.39,0.402	0.012
ENSMUSG00000000056.8	Narf	-1.10728048387541	6.700335002199049e-185	2.46033220666955e-183	0.436,0.457,0.49	0.496,0.498,0.555	-0.055
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.471,0.392,0.385	0.412,0.386,0.451	-0.0
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.549,0.502,0.561	0.521,0.516,0.46	0.038
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.552,1.0,NA	NA,NA,0.711	0.065
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.0,0.102,NA	0.0,NA,NA	0.051
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.005,0.0,0.014	0.0,0.007,0.0	0.004
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	1.0,0.412,1.0	1.0,1.0,1.0	-0.196
ENSMUSG00000000168.11	Dlat	-0.43423952326567	5.1664922968804196e-30	2.84959880725383e-29	0.0,1.0,NA	1.0,NA,NA	-0.5
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.189,0.234,0.197	0.177,0.143,0.138	0.054
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.478,0.521,0.526	0.479,0.478,0.459	0.036
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.98,0.966,0.981	0.968,0.93,0.963	0.022
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.018,0.037,0.021	0.03,0.064,0.032	-0.017
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.435,0.443,0.454	0.397,0.454,0.447	0.011
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.97,0.951,0.98	0.976,0.98,0.973	-0.009
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.546,0.511,0.495	0.509,0.545,0.514	-0.005
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.97,0.951,0.982	0.98,0.98,0.97	-0.009
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.689,0.614,0.647	0.535,0.648,0.582	0.062
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.524,0.496,0.507	0.469,0.539,0.501	0.006
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.035,0.051,0.02	0.025,0.023,0.029	0.01
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.063,0.076,0.032	0.022,0.035,0.041	0.024
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.033,0.048,0.018	0.017,0.023,0.03	0.01
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.714,0.661,0.677	0.602,0.668,0.65	0.044
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.566,0.558,0.55	0.564,0.593,0.585	-0.023
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.332,0.382,0.359	0.435,0.389,0.419	-0.057
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.006,0.0,0.002	0.005,0.004,0.006	-0.002
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.344,0.393,0.369	0.461,0.42,0.432	-0.069
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	0.02,0.016,0.016	0.046,0.043,0.021	-0.019
