GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	-0.203695446569787	1.44387188789303e-06	3.32895000942774e-06	0.014,0.001,0.003	0.008,0.002,0.002	0.002
ENSMUSG00000000056.8	Narf	-1.10728048387541	6.700335002199049e-185	2.46033220666955e-183	0.004,0.008,0.009	0.008,0.006,0.004	0.001
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.003,0.004,0.003	0.003,0.003,0.001	0.001
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.975,0.954,1.0	1.0,1.0,1.0	-0.024
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.162,0.575,0.575	0.474,0.0,1.0	-0.054
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.0,0.01,0.012	0.008,0.0,0.007	0.002
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.681,0.308,0.181	0.672,0.816,1.0	-0.439
ENSMUSG00000000131.16	Xpo6	-0.335503238308083	3.29134662683527e-20	1.35741491532248e-19	0.284,0.162,1.0	0.398,1.0,1.0	-0.317
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.007,0.002,0.001	0.001,0.002,0.002	0.002
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.013,0.009,0.01	0.003,0.003,0.006	0.007
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.001,0.008,0.008	0.007,0.003,0.004	0.001
ENSMUSG00000000134.18	Tfe3	-0.49162047293237	6.54812349936762e-22	2.85851808295706e-21	0.014,0.004,0.006	0.01,0.014,0.008	-0.003
ENSMUSG00000000168.11	Dlat	-0.43423952326567	5.1664922968804196e-30	2.84959880725383e-29	0.0,NA,NA	NA,NA,1.0	-1.0
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
ENSMUSG00000000244.18	Tspan32	-0.589004991547695	4.02841320643658e-49	3.31508728214381e-48	1.0,1.0,0.656	1.0,1.0,1.0	-0.115
ENSMUSG00000000253.14	Gmpr	1.28028879570999	6.98287480981166e-30	3.83685790633373e-29	NA,0.0,NA	1.0,NA,NA	-1.0
ENSMUSG00000000275.17	Trim25	-0.53298620397672	8.828615688096369e-42	6.33795408476239e-41	0.023,0.008,0.015	0.022,0.012,0.017	-0.002
ENSMUSG00000000275.17	Trim25	-0.53298620397672	8.828615688096369e-42	6.33795408476239e-41	0.008,0.0,0.005	0.016,0.02,0.01	-0.011
ENSMUSG00000000276.12	Dgke	-0.624115507195066	4.00328050619728e-10	1.12995934839175e-09	0.0,0.0,0.0	0.0,0.201,0.088	-0.096
ENSMUSG00000000290.14	Itgb2	1.64820764321645	1.27347007410852e-302	9.417193284136739e-301	1.0,NA,NA	NA,0.0,NA	1.0
ENSMUSG00000000318.17	Clec10a	3.75242489429306	2.15569965259921e-80	2.95562150652078e-79	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000320.11	Alox12	1.74880958193864	4.1193947082234003e-25	1.9939118689228e-24	0.0,0.0,0.0	0.0,0.062,0.0	-0.021
ENSMUSG00000000326.14	Comt	-0.964949921911779	2.03053745045638e-162	6.16611686238399e-161	0.868,1.0,1.0	0.895,1.0,1.0	-0.009
ENSMUSG00000000326.14	Comt	-0.964949921911779	2.03053745045638e-162	6.16611686238399e-161	0.965,1.0,1.0	1.0,1.0,1.0	-0.012
ENSMUSG00000000326.14	Comt	-0.964949921911779	2.03053745045638e-162	6.16611686238399e-161	0.685,0.886,0.392	0.66,0.592,0.421	0.097
ENSMUSG00000000374.9	Trappc10	-0.892570942273604	1.73963374729664e-143	4.54781830533049e-142	0.803,1.0,1.0	1.0,1.0,1.0	-0.066
ENSMUSG00000000378.16	Ccm2	0.193146434785143	0.0001519721294025	0.0003003527373109	1.0,1.0,1.0	0.905,0.87,1.0	0.075
ENSMUSG00000000378.16	Ccm2	0.193146434785143	0.0001519721294025	0.0003003527373109	1.0,1.0,0.619	1.0,1.0,1.0	-0.127
ENSMUSG00000000384.16	Tbrg4	-0.751340879882192	1.9796524833216398e-116	3.99254913082027e-115	0.01,0.021,0.018	0.023,0.027,0.012	-0.004
ENSMUSG00000000384.16	Tbrg4	-0.751340879882192	1.9796524833216398e-116	3.99254913082027e-115	1.0,1.0,0.91	1.0,1.0,1.0	-0.03
ENSMUSG00000000384.16	Tbrg4	-0.751340879882192	1.9796524833216398e-116	3.99254913082027e-115	0.758,0.779,0.561	0.919,0.732,1.0	-0.184
ENSMUSG00000000384.16	Tbrg4	-0.751340879882192	1.9796524833216398e-116	3.99254913082027e-115	1.0,0.947,0.909	0.788,1.0,0.916	0.051
ENSMUSG00000000409.15	Lck	1.53232428142588	1.9626651086224501e-35	1.23716060694658e-34	0.033,0.0,0.017	0.028,0.0,0.04	-0.006
ENSMUSG00000000409.15	Lck	1.53232428142588	1.9626651086224501e-35	1.23716060694658e-34	0.0,0.06,0.038	0.0,0.028,0.039	0.01
ENSMUSG00000000441.18	Raf1	-0.30792868920937	2.12815162768391e-08	5.50315135972075e-08	0.044,0.039,0.037	0.064,0.05,0.051	-0.015
ENSMUSG00000000441.18	Raf1	-0.30792868920937	2.12815162768391e-08	5.50315135972075e-08	0.951,1.0,1.0	1.0,1.0,0.961	-0.003
