GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	0.011,0.01,0.006	0.0,0.003,0.013	0.004
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	NA,NA,0.222	0.0,0.0,NA	0.222
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	NA,NA,1.0	NA,0.0,NA	1.0
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	1.0,1.0,0.992	1.0,1.0,1.0	-0.003
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	1.0,1.0,0.992	0.97,0.987,1.0	0.012
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	1.0,1.0,1.0	1.0,0.993,1.0	0.002
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	NA,NA,0.496	0.0,0.0,NA	0.496
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	NA,NA,1.0	NA,0.0,NA	1.0
ENSMUSG00000000001.5	Gnai3	0.561646558641948	8.22492942283227e-38	1.51007813414827e-36	NA,NA,1.0	1.0,0.638,NA	0.181
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	NA,1.0,0.0	0.0,0.414,0.0	0.362
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.0,0.002,0.0	0.0,0.006,0.0	-0.001
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.924,0.964,0.989	0.93,0.864,0.882	0.067
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.988,1.0	1.0,1.0,1.0	-0.004
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.0,0.0,0.009	0.005,0.008,0.01	-0.005
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.938,0.971,0.992	0.944,0.889,0.907	0.054
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.991,1.0	1.0,1.0,1.0	-0.003
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.987,0.994,0.998	0.987,0.976,0.978	0.013
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.998,1.0	1.0,1.0,1.0	-0.001
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.915,1.0	1.0,1.0,1.0	-0.028
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.013,0.019,0.006	0.004,0.01,0.018	0.002
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.998,0.992,0.991	0.993,0.997,1.0	-0.003
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.0,0.0,0.001	0.001,0.0,0.0	0.0
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.0,0.0,0.0	0.0,0.0,0.004	-0.001
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.0,NA	NA,0.0,1.0	0.0
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.985,1.0	1.0,0.988,1.0	-0.001
ENSMUSG00000000037.18	Scml2	0.321372067394327	0.0188536336137734	0.0391951702149268	1.0,1.0,1.0	0.938,1.0,0.898	0.055
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.0,0.0,0.001	0.0,0.002,0.0	-0.0
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.981,0.986,1.0	1.0,1.0,1.0	-0.011
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.002,0.007,0.01	0.003,0.007,0.003	0.002
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.996,1.0,1.0	1.0,1.0,1.0	-0.001
ENSMUSG00000000078.8	Klf6	1.65236482740257	4.89754736516026e-84	2.19743045122766e-82	0.0,0.0,0.0	0.0,0.011,0.017	-0.009
ENSMUSG00000000127.16	Fer	0.244245516350488	0.0175933156649038	0.0368113742619214	1.0,1.0,1.0	1.0,1.0,0.924	0.025
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	0.327,1.0,0.0	0.327,0.0,0.0	0.333
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	1.0,1.0,NA	0.598,0.598,NA	0.402
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	1.0,1.0,1.0	1.0,1.0,0.0	0.333
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	1.0,1.0,1.0	0.695,0.842,1.0	0.154
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	1.0,1.0,1.0	1.0,1.0,0.71	0.097
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	1.0,1.0,1.0	1.0,1.0,0.0	0.333
ENSMUSG00000000149.11	Gna12	-0.12556370146238	0.0001846916352831	0.0005373704278521	0.0,0.0,0.0	0.005,0.0,0.0	-0.002
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,1.0,1.0	1.0,1.0,0.995	0.002
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,0.0,0.0	0.02,0.0,0.016	-0.012
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	0.0,NA,NA	0.0,0.0,0.394	-0.131
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	0.0,0.0,0.0	0.0,0.004,0.003	-0.002
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	0.157,0.0,0.0	0.008,0.025,0.003	0.04
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	1.0,1.0,1.0	0.993,1.0,1.0	0.002
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	1.0,1.0,1.0	0.871,0.926,0.84	0.121
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,1.0,1.0	0.983,0.721,0.859	0.146
ENSMUSG00000000168.11	Dlat	-0.128317412228839	0.0001653738863748	0.000484859964586	0.002,0.006,0.008	0.001,0.005,0.003	0.002
ENSMUSG00000000168.11	Dlat	-0.128317412228839	0.0001653738863748	0.000484859964586	1.0,NA,NA	1.0,1.0,1.0	0.0
ENSMUSG00000000184.13	Ccnd2	0.184623043856676	7.51853531023885e-08	3.16368715780941e-07	1.0,1.0,1.0	0.998,1.0,1.0	0.001
ENSMUSG00000000184.13	Ccnd2	0.184623043856676	7.51853531023885e-08	3.16368715780941e-07	0.008,0.001,0.003	0.003,0.003,0.003	0.001
ENSMUSG00000000194.14	Gpr107	-0.33397489700816	8.718426777249249e-11	4.70789151159575e-10	0.004,0.0,0.009	0.008,0.0,0.0	0.002
ENSMUSG00000000194.14	Gpr107	-0.33397489700816	8.718426777249249e-11	4.70789151159575e-10	1.0,1.0,0.994	1.0,1.0,1.0	-0.002
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.302,1.0	0.389,0.401,0.336	0.059
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	1.0,NA,0.0	0.233,0.201,0.23	0.279
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,1.0,1.0	0.401,0.248,0.321	0.343
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.466,NA,NA	0.235,0.267,0.44	0.152
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,1.0,1.0	0.927,0.707,0.907	0.153
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	1.0,0.0,NA	1.0,1.0,0.897	-0.466
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.082,0.0	0.007,0.009,0.007	0.02
