GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.383,0.395,0.43	0.414,0.429,0.409	-0.015
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	1.0,0.849,1.0	NA,0.652,1.0	0.124
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,0.0,0.0	0.047,0.213,0.096	-0.119
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,0.0,0.0	0.007,0.07,0.021	-0.033
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,0.0,0.0	0.028,0.06,0.021	-0.036
ENSMUSG00000000194.14	Gpr107	-0.33397489700816	8.718426777249249e-11	4.70789151159575e-10	NA,0.0,0.0	1.0,NA,NA	-1.0
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.462,0.201	0.172,0.149,0.175	0.056
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.477,0.203	0.171,0.147,0.174	0.063
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.003,0.003,0.003	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.003,0.003,0.003	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.005,0.003,0.0	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.005,0.003,0.0	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.047,0.321,0.188	0.173,0.158,0.182	0.014
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.048,0.334,0.19	0.172,0.155,0.181	0.021
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.004,0.0,0.005	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.004,0.0,0.005	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.006,0.0,0.002	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.0,0.0,0.0	0.006,0.0,0.002	-0.003
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,NA,1.0	0.539,0.637,1.0	0.275
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,NA,1.0	0.247,1.0,0.372	0.46
ENSMUSG00000000301.17	Pemt	-0.413610906033876	0.0065123027227554	0.0148792749807714	0.496,0.365,0.504	0.483,0.528,0.496	-0.047
ENSMUSG00000000301.17	Pemt	-0.413610906033876	0.0065123027227554	0.0148792749807714	0.0,0.0,0.0	0.0,0.0,0.0	0.0
