GeneID_deseq	GeneName_deseq	log2FoldChange_deseq	pvalue_deseq	padj_deseq	IncLevel1_rmats	IncLevel2_rmats	IncLevelDifference_rmats
ENSMUSG00000000028.16	Cdc45	-0.394396829189011	4.13806020923944e-23	4.45399162548393e-22	0.014,0.001,0.003	0.012,0.012,0.005	-0.004
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.017,0.005,0.011	0.002,0.007,0.009	0.005
ENSMUSG00000000056.8	Narf	-0.411064147990858	2.41137260978577e-32	3.6799393680610304e-31	0.004,0.008,0.009	0.006,0.006,0.002	0.002
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	1.0,1.0,NA	0.968,0.912,1.0	0.04
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,1.0,NA	1.0,0.846,0.911	0.081
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	NA,NA,1.0	0.714,1.0,0.532	0.251
ENSMUSG00000000157.17	Itgb2l	5.29279656490478	0.0	0.0	0.0,NA,NA	0.102,0.11,0.042	-0.085
ENSMUSG00000000168.11	Dlat	-0.128317412228839	0.0001653738863748	0.000484859964586	0.0,NA,NA	1.0,NA,1.0	-1.0
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,1.0,NA	0.876,0.848,1.0	0.092
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	0.463,0.147,0.302	0.167,0.139,0.143	0.154
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	1.0,1.0,1.0	0.923,1.0,0.962	0.038
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,1.0,1.0	0.574,1.0,0.895	0.177
ENSMUSG00000000204.17	Slfn4	5.44193901424513	0.0	0.0	NA,1.0,1.0	1.0,0.718,0.943	0.113
ENSMUSG00000000253.14	Gmpr	0.835201896935413	1.32529508472125e-12	8.19865932929998e-12	NA,0.0,NA	0.367,0.088,NA	-0.227
ENSMUSG00000000276.12	Dgke	-0.344050434565086	0.0002129160381991	0.0006145478637794	0.0,0.0,0.0	0.0,0.077,0.035	-0.037
ENSMUSG00000000290.14	Itgb2	2.17973822755944	0.0	0.0	1.0,NA,NA	0.304,0.0,NA	0.848
ENSMUSG00000000290.14	Itgb2	2.17973822755944	0.0	0.0	NA,NA,1.0	1.0,0.0,1.0	0.333
ENSMUSG00000000318.17	Clec10a	1.03842856191767	0.0005051044913204	0.0013817492789624	1.0,1.0,1.0	1.0,1.0,1.0	0.0
ENSMUSG00000000326.14	Comt	-0.396942925880351	5.03602575080705e-33	7.886317580160881e-32	0.868,1.0,1.0	0.81,1.0,0.853	0.068
ENSMUSG00000000326.14	Comt	-0.396942925880351	5.03602575080705e-33	7.886317580160881e-32	0.965,1.0,1.0	1.0,1.0,1.0	-0.012
ENSMUSG00000000326.14	Comt	-0.396942925880351	5.03602575080705e-33	7.886317580160881e-32	0.685,0.886,0.392	0.914,1.0,0.618	-0.19
ENSMUSG00000000374.9	Trappc10	-0.396909471844545	3.05905872539064e-34	4.99614979761398e-33	1.0,1.0,1.0	1.0,1.0,0.864	0.045
ENSMUSG00000000374.9	Trappc10	-0.396909471844545	3.05905872539064e-34	4.99614979761398e-33	0.803,1.0,1.0	1.0,1.0,1.0	-0.066
ENSMUSG00000000374.9	Trappc10	-0.396909471844545	3.05905872539064e-34	4.99614979761398e-33	1.0,1.0,1.0	1.0,1.0,0.106	0.298
ENSMUSG00000000374.9	Trappc10	-0.396909471844545	3.05905872539064e-34	4.99614979761398e-33	1.0,1.0,1.0	NA,1.0,0.692	0.154
ENSMUSG00000000384.16	Tbrg4	-0.367107767478725	3.63469726695891e-33	5.725544323977781e-32	0.01,0.021,0.018	0.023,0.024,0.017	-0.005
ENSMUSG00000000384.16	Tbrg4	-0.367107767478725	3.63469726695891e-33	5.725544323977781e-32	1.0,1.0,0.91	1.0,1.0,1.0	-0.03
ENSMUSG00000000384.16	Tbrg4	-0.367107767478725	3.63469726695891e-33	5.725544323977781e-32	1.0,1.0,1.0	1.0,1.0,0.935	0.022
ENSMUSG00000000384.16	Tbrg4	-0.367107767478725	3.63469726695891e-33	5.725544323977781e-32	0.758,0.779,0.561	0.715,1.0,0.78	-0.132
ENSMUSG00000000384.16	Tbrg4	-0.367107767478725	3.63469726695891e-33	5.725544323977781e-32	1.0,0.947,0.909	0.88,1.0,0.735	0.08
ENSMUSG00000000409.15	Lck	1.01118796012702	2.66987378455044e-13	1.7385199331685298e-12	0.0,0.057,0.0	0.0,0.0,0.0	0.019
