gene_symbol	geneID	KO5_vs_WT_dtu_log2fold	KO5_vs_WT_dtu_gene_padj	dtu_KO5_mean	dtu_WT_mean	transcript_id	KO5_vs_WT_exon_gene_padj	KO5_vs_WT_deg_log2fold	KO5_vs_WT_deg_pval
Ube2w	ENSMUSG00000025939	-1.4599604882320125	6.254477406218085e-15	4.2053592568249725	11.568978186739091	ENSMUST00000117146.8	0.0468036371854433	-1.0692026908497603	4.241538104207104e-6
Ogfrl1	ENSMUSG00000026158	-1.6687034829114549	1.0619272061293902e-14	6.296357219647049	20.017929789680924	ENSMUST00000027343.5	1.80708958024112e-13	-1.5178801495980396	3.983385408614223e-8
Ptpn18	ENSMUSG00000026126	-2.2524095344927497	0	6.98789748721025	33.29579259920877	ENSMUST00000027302.13	1.39765812145363e-8	-2.175401705282088	1.1903955203919765e-8
Ptpn18	ENSMUSG00000026126	-2.173847953133104	0	8.482015459271313	38.27299948633878	ENSMUST00000188972.2	1.39765812145363e-8	-2.175401705282088	1.1903955203919765e-8
Neurl3	ENSMUSG00000047180	-2.623512250107778	0	2.220314778980557	13.682656712822	ENSMUST00000056946.7	0.00617151387269117	-2.507587335890627	8.325184182228025e-10
Neurl3	ENSMUSG00000047180	-1.7970216208132752	0	0.48726431919872476	1.693253653222686	ENSMUST00000188666.2	0.00617151387269117	-2.507587335890627	8.325184182228025e-10
Lman2l	ENSMUSG00000001143	-1.0435013715051713	0	1.6165520785796454	3.332076116426968	ENSMUST00000125304.7	0.021008537882015	-1.1728920926181186	1.7801467790762138e-6
Lman2l	ENSMUSG00000001143	-8.469719323758369	0	0.006093529755032513	2.1602723522713205	ENSMUST00000115011.7	0.021008537882015	-1.1728920926181186	1.7801467790762138e-6
Inpp4a	ENSMUSG00000026113	-3.1066264265501076	2.9797754146697545e-15	0.3443243060162348	2.965892600798369	ENSMUST00000027287.10	1.0292631617108e-4	-2.569079483363064	2.2466335726214767e-8
Tbc1d8	ENSMUSG00000003134	-1.3910151634030308	5.1824479128190295e-11	2.8863778513568397	7.56990574339285	ENSMUST00000054462.10	5.6427694138207e-4	-1.2113192850713999	7.607991306227497e-9
Il18r1	ENSMUSG00000026070	-2.9663389730738485	3.200643693475131e-8	0.41994651535911287	3.2820938104399797	ENSMUST00000108044.3	0.0417034503047886	-2.946229542211736	2.7607084273679207e-9
Il18rap	ENSMUSG00000026068	-3.2562393826077987	2.9797754146697545e-15	0.8595182208889304	8.212602726645951	ENSMUST00000027237.11	3.03651477635261e-13	-3.305960242259114	5.348235244186494e-10
Inpp1	ENSMUSG00000026102	-2.101586155581654	0.0037833749565093573	0.3265527173408056	1.401502166043154	ENSMUST00000027271.8	0.006304822131382	-1.8043176375105194	6.346045068331792e-6
