gene_symbol	Lin_geneID	Lin_KO4_vs_WT_deg_log2fold	LSK_KO10_vs_WT6_deg_log2fold
Cfap20	ENSMUSG00000031796	-3.905473788748199	-4.4553837315110165
Dntt	ENSMUSG00000025014	-3.634069991837602	-2.7224194047333565
Zg16	ENSMUSG00000049350	-1.3496650728816306	-4.167017230212593
Psrc1	ENSMUSG00000068744	2.540457356345348	2.411437683771953
Dglucy	ENSMUSG00000021185	1.9270085549850497	2.9048881469575702
Alox5	ENSMUSG00000025701	1.2200861280272717	3.0371913831810526
Apoe	ENSMUSG00000002985	-2.6627897519571153	-1.0825760719342066
H2-Q9	ENSMUSG00000060550	-2.0206768183394654	-1.4046650561801712
H2-Q7	ENSMUSG00000060550	-2.0206768183394654	-1.4046650561801712
Trmt2b	ENSMUSG00000067369	-1.9415972373016475	-1.4266827217510798
Kank3	ENSMUSG00000042099	1.5229929482804518	1.6754831465663789
Cpsf3	ENSMUSG00000054309	-1.7031465369377905	-1.4784778760988786
Lman2l	ENSMUSG00000001143	-1.5041919852176306	-1.5795652912733344
Cpq	ENSMUSG00000039007	-1.9916197474335187	-1.090346618098838
Igha	ENSMUSG00000095079	-2.035324435578163	-1.0333240705710036
Ptprs	ENSMUSG00000013236	-1.7133352759206462	-1.2537137013446549
Clec4e	ENSMUSG00000030142	1.4290556218094679	1.310198188264554
Micu1	ENSMUSG00000020111	-1.4154005515190624	-1.1280263342448773
Lrrc28	ENSMUSG00000030556	1.0568219359768332	1.4088190297838357
Ighg2b	ENSMUSG00000076613	-1.389956364003499	-1.049703053272932
Uba5	ENSMUSG00000032557	-1.2560103198643042	-1.0840657143930097
Cux1	ENSMUSG00000029705	-1.1705173476962347	-1.1529629945260478
Aen	ENSMUSG00000030609	1.0714419492283156	1.2034604152062514
