iso_ref,gene_ref,isoform_id,gene_id,condition_1,condition_2,gene_name,gene_biotype,iso_biotype,gene_overall_mean,gene_value_1,gene_value_2,gene_stderr_1,gene_stderr_2,gene_log2_fold_change,gene_q_value,iso_overall_mean,iso_value_1,iso_value_2,iso_stderr_1,iso_stderr_2,iso_log2_fold_change,iso_q_value,IF_overall,IF1,IF2,dIF,isoform_switch_q_value,gene_switch_q_value,PTC,IR,switchConsequencesGene
isoComp_00002582,geneComp_00001175,ENSMUST00000065028,Abr,KO5,KO4,Abr,protein_coding,protein_coding,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,0.9613759559517332,0.26072794366801433,1.662023968235452,0.025571400566489138,0.9241609058103147,2.6266798177083555,NA,0.15891666666666668,0.11546666666666666,0.20236666666666667,0.0869,0.4111943744360938,0.047037959147813786,FALSE,NA,NA
isoComp_00002583,geneComp_00001175,ENSMUST00000108407,Abr,KO5,KO4,Abr,protein_coding,protein_coding,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,3.077703951999421,1.5062451067430074,4.649162797255835,0.0026738790441350677,0.7752929671615899,1.6195677515244673,NA,0.6173833333333334,0.6641666666666667,0.5706,-0.09356666666666669,0.5662272896707595,0.047037959147813786,FALSE,NA,NA
isoComp_00002584,geneComp_00001175,ENSMUST00000108408,Abr,KO5,KO4,Abr,protein_coding,protein_coding,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,0.18302346666433175,0.10712970818890925,0.25891722513975424,0.06530139118465356,0.1663380497501715,1.1990551279555588,NA,0.04011666666666667,0.048466666666666665,0.031766666666666665,-0.0167,0.8868213260568587,0.047037959147813786,FALSE,NA,NA
isoComp_00002585,geneComp_00001175,ENSMUST00000131059,Abr,KO5,KO4,Abr,protein_coding,lncRNA,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,0.1781876926180329,3.3093909324044546e-7,0.3563750542969726,3.309390932404455e-7,0.16816037026259378,5.195201627981488,NA,0.021166666666666667,0,0.042333333333333334,0.042333333333333334,0.047037959147813786,0.047037959147813786,NA,NA,NA
isoComp_00002587,geneComp_00001175,ENSMUST00000141442,Abr,KO5,KO4,Abr,protein_coding,retained_intron,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,0.6122154659665777,0.28351456032510436,0.940916371608051,0.12288371897093252,0.22304127347890548,1.6958863961415929,NA,0.11801666666666666,0.12266666666666666,0.11336666666666666,-0.009300000000000003,0.7140515279562943,0.047037959147813786,NA,NA,NA
isoComp_00002588,geneComp_00001175,ENSMUST00000238684,Abr,KO5,KO4,Abr,protein_coding,protein_coding,5.2288428623189755,2.2699521598952273,8.187733564742723,0.0506220080122554,0.3433556415142098,1.8462215488559328,NA,0.1547591591724741,0.11233426618248081,0.1971840521624674,0.014848046057838274,0.06328933979182115,0.7600843933930329,NA,0.036616666666666665,0.04923333333333334,0.024,-0.025233333333333337,0.25959707109279634,0.047037959147813786,FALSE,NA,NA
isoComp_00012496,geneComp_00003896,ENSMUST00000034249,Cfap20,KO5,KO4,Cfap20,protein_coding,protein_coding,7.529226976238229,12.193678559583564,2.8647753928928945,0.17429436456646163,0.07392222686709123,-2.0857949381167864,NA,4.7419552358910275,8.418916966866819,1.064993504915236,0.08974929394499102,0.31789538633543757,-2.9710193278047647,NA,0.5286833333333333,0.6909,0.36646666666666666,-0.3244333333333333,0.022060200425622588,0.022060200425622588,FALSE,0,TRUE
isoComp_00012497,geneComp_00003896,ENSMUST00000212131,Cfap20,KO5,KO4,Cfap20,protein_coding,nonsense_mediated_decay,7.529226976238229,12.193678559583564,2.8647753928928945,0.17429436456646163,0.07392222686709123,-2.0857949381167864,NA,1.4555148842954897,1.7570880068795838,1.1539417617113958,0.06731050302875813,0.30580553793782334,-0.6023550184738115,NA,0.27636666666666665,0.14433333333333334,0.4084,0.26406666666666667,0.04029876498435214,0.022060200425622588,TRUE,0,TRUE
isoComp_00012499,geneComp_00003896,ENSMUST00000212684,Cfap20,KO5,KO4,Cfap20,protein_coding,nonsense_mediated_decay,7.529226976238229,12.193678559583564,2.8647753928928945,0.17429436456646163,0.07392222686709123,-2.0857949381167864,NA,1.099149672258013,1.6398271408603426,0.5584722036556834,0.338668973771192,0.10598842922312583,-1.5371531622200998,NA,0.16411666666666666,0.13376666666666667,0.19446666666666668,0.060700000000000004,0.4403340145917485,0.022060200425622588,TRUE,0,TRUE
isoComp_00012500,geneComp_00003896,ENSMUST00000212731,Cfap20,KO5,KO4,Cfap20,protein_coding,retained_intron,7.529226976238229,12.193678559583564,2.8647753928928945,0.17429436456646163,0.07392222686709123,-2.0857949381167864,NA,0.10022458669484746,0.13360540910540109,0.06684376428429384,0.0024256187909692975,0.008191275181188326,-0.9021099933790689,NA,0.017233333333333333,0.010933333333333333,0.023533333333333333,0.0126,0.21492387126454482,0.022060200425622588,NA,4,TRUE
